year,month,route,stop_id,stop_name,municipality,total_boardings,pct_total_boardings,pct_route_boardings,latitude,longitude
2026,July,7,805700,North Avenue at Cross Parkway,Burlington,80,7.490005523879074e-4,0.006064741111363809,44.51327591364524,-73.2535893886282
2026,July,7,805701,North Avenue at Staniford Road,Burlington,103,9.643382111994308e-4,0.007808354180880904,44.512482637184064,-73.25249088947282
2026,July,7,805702,North Avenue at Woodbury Road,Burlington,236,0.002209551629544327,0.017890986278523237,44.51177,-73.2515
2026,July,7,805703,North Avenue at Dodds Court,Burlington,127,0.001189038376915803,0.009627776514290046,44.510541541785194,-73.24989447764318
2026,July,7,805704,North Avenue at Shore Road,Burlington,184,0.001722701270492187,0.01394890455613676,44.509482,-73.248476
2026,July,7,805705,North Avenue at Dept. Motor Vehicles,Burlington,291,0.002724489509311013,0.022060495792585854,44.508268,-73.246789
2026,July,7,805706,Ethan Allen Shopping Center,Burlington,770,0.007209130316733608,0.05837313319687666,44.506523,-73.244415
2026,July,7,805707,North Avenue at Lakewood Parkway,Burlington,301,0.0028181145783595014,0.02281858843150633,44.504869,-73.242206
2026,July,7,805708,North Avenue at Killarney Drive,Burlington,113,0.0010579632802479191,0.00856644681980138,44.503349,-73.240156
2026,July,7,805709,North Avenue at Oppostie Saratoga Ave. (Elk's Lodge),Burlington,74,6.928255109588143e-4,0.005609885528011523,44.50261,-73.239132
2026,July,7,805710,North Avenue at Route 127,Burlington,26,2.434251795260699e-4,0.0019710408611932377,44.501077,-73.237206
2026,July,7,805711,Burlington High School,Burlington,220,0.002059751519066745,0.016678038056250472,44.497539,-73.232767
2026,July,7,805713,North Ave at Cambrian Rise,Burlington,392,0.0036701027067007463,0.02971723144568266,44.48977976148372,-73.22669459131767
